bic,bic_denominacion,eswiki_titulo,eswiki_url,id_bic,id_bic_canarias
http://www.wikidata.org/entity/Q43143676,Edificio Circulo de Amistad XII de Enero,,,RI-51-0008723,
http://www.wikidata.org/entity/Q43143688,Iglesia Parroquia de San Andrés,,,RI-51-0008725,
http://www.wikidata.org/entity/Q43143696,Ermita de Nuestra Señora del Buen Viaje,,,RI-51-0008726,
http://www.wikidata.org/entity/Q43143717,Ex-convento de San Francisco,,,RI-51-0008729,
http://www.wikidata.org/entity/Q43143757,Casa Fuerte,,,RI-51-0008734,219
http://www.wikidata.org/entity/Q43143761,"Ex Convento de San Sebastián, de las monjas de San Bernado",,,RI-51-0008735,249
http://www.wikidata.org/entity/Q43143764,Ermita de San Nicolás de Tolentino y Casa Solariega,,,RI-51-0008736,
http://www.wikidata.org/entity/Q43143772,Ex-convento de San Francisco,,,RI-51-0008737,
http://www.wikidata.org/entity/Q43143785,Iglesia de Santa Úrsula,,,RI-51-0008738,
http://www.wikidata.org/entity/Q43143810,Cueva de Belmaco,Parque Arqueológico de Belmaco,https://es.wikipedia.org/wiki/Parque_Arqueol%C3%B3gico_de_Belmaco,RI-51-0008740,
http://www.wikidata.org/entity/Q43143820,Casa Natal del Beato Padre Anchieta,,,RI-51-0008741,
http://www.wikidata.org/entity/Q43143832,Casa Natal de José Antonio de Viera y Clavijo,,,RI-51-0008742,247
http://www.wikidata.org/entity/Q43143843,Casa del Mayor Guerra,,,RI-51-0008743,
